event_ticker,event_title,away_team,home_team,game_classification
KXNCAAMBGAME-26FEB28HALLCONN,Seton Hall at UConn,Seton Hall,UConn,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR10UTRGVMCNS,UT Rio Grande Valley at McNeese,UT Rio Grande Valley,McNeese,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN20MINNOSU,Minnesota at Ohio St.,Minnesota,Ohio St.,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR12MISSUGA,Ole Miss at Georgia,Ole Miss,Georgia,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB08UCSDHAW,UC San Diego at Hawai'i,UC San Diego,Hawaii,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR09ORSTGONZ,Oregon St. at Gonzaga,Oregon St.,Gonzaga,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB04BYUOKST,BYU at Oklahoma St.,BYU,Oklahoma St.,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN28USCIOWA,USC at Iowa,USC,Iowa,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR07OKLATEX,Oklahoma at Texas,Oklahoma,Texas,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB20SIEMRMK,Siena at Merrimack,Siena,Merrimack,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN28SFSCU,San Francisco at Santa Clara,San Francisco,Santa Clara,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB21FSUCLEM,Florida St. at Clemson,Florida St.,Clemson,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR10SYRSMU,Syracuse at SMU,Syracuse,SMU,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN24LSUARK,LSU at Arkansas,LSU,Arkansas,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN13MARQSJU,Marquette at St. John's,Marquette,St. John's,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR11OKSTTCU,Oklahoma St. at TCU,Oklahoma St.,TCU,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB24MINNMICH,Minnesota at Michigan,Minnesota,Michigan,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB17VTMIA,Virginia Tech at Miami (FL),Virginia Tech,Miami (FL),mixed_one_mm_one_not
KXNCAAMBGAME-26JAN25FAUUSF,Florida Atlantic at South Florida,Florida Atlantic,South Florida,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR09TOWSHOF,Towson at Hofstra,Towson,Hofstra,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB18CLEMWAKE,Clemson at Wake Forest,Clemson,Wake Forest,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN14DUKECAL,Duke at California,Duke,California,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN28MINNWIS,Minnesota at Wisconsin,Minnesota,Wisconsin,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB07VILLGTWN,Villanova at Georgetown,Villanova,Georgetown,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR08ILLMD,Illinois at Maryland,Illinois,Maryland,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR07HOUOKST,Houston at Oklahoma St.,Houston,Oklahoma St.,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB07WISIND,Wisconsin at Indiana,Wisconsin,Indiana,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN17ALAOKLA,Alabama at Oklahoma,Alabama,Oklahoma,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB17SLUURI,Saint Louis at Rhode Island,Saint Louis,Rhode Island,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN20KUCOLO,Kansas at Colorado,Kansas,Colorado,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR11PITTNCST,Pittsburgh at North Carolina St.,Pittsburgh,NC State,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB04IOWAWASH,Iowa at Washington,Iowa,Washington,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB21UCSBHAW,UC Santa Barbara at Hawai'i,UC Santa Barbara,Hawaii,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN21MDILL,Maryland at Illinois,Maryland,Illinois,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB04CLEMSTAN,Clemson at Stanford,Clemson,Stanford,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR13CSFHAW,Cal State Fullerton at Hawai'i,Cal State Fullerton,Hawaii,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR08UNCGFUR,UNC Greensboro at Furman,UNC Greensboro,Furman,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR11MDIOWA,Maryland at Iowa,Maryland,Iowa,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB25CITFUR,The Citadel at Furman,The Citadel,Furman,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN24MISSUK,Ole Miss at Kentucky,Ole Miss,Kentucky,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB10MARQVILL,Marquette at Villanova,Marquette,Villanova,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR11LSUUK,LSU at Kentucky,LSU,Kentucky,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN17MICHORE,Michigan at Oregon,Michigan,Oregon,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB07ALAAUB,Alabama at Auburn,Alabama,Auburn,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB10DUKEPITT,Duke at Pittsburgh,Duke,Pittsburgh,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR13DUQVCU,Duquesne at VCU,Duquesne,VCU,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN24TCUBAY,TCU at Baylor,TCU,Baylor,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB13SLULCHI,Saint Louis at Loyola Chicago,Saint Louis,Loyola Chicago,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB14GTWNCONN,Georgetown at UConn,Georgetown,UConn,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB10UVAFSU,Virginia at Florida St.,Virginia,Florida St.,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB13CLMBPENN,Columbia at Penn,Columbia,Penn,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB07OKLAVAN,Oklahoma at Vanderbilt,Oklahoma,Vanderbilt,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN29SAMFUR,Samford at Furman,Samford,Furman,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN28LEHARMY,Lehigh at Army,Lehigh,Army,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB17MOHMASS,Miami (OH) at UMass,Miami (Ohio),UMass,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR13KENNSHSU,Kennesaw St. at Sam Houston,Kennesaw St.,Sam Houston,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN08RUTGILL,Rutgers at Illinois,Rutgers,Illinois,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR08PACSCU,Pacific at Santa Clara,Pacific,Santa Clara,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN11OSUWASH,Ohio St. at Washington,Ohio St.,Washington,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN11CINUCF,Cincinnati at UCF,Cincinnati,UCF,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN10UGASCAR,Georgia at South Carolina,Georgia,South Carolina,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB18SJUMARQ,St. John's at Marquette,St. John's,Marquette,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN14UKLSU,Kentucky at LSU,Kentucky,LSU,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN28TEXAUB,Texas at Auburn,Texas,Auburn,mixed_one_mm_one_not
