event_ticker,event_title,away_team,home_team,game_classification
KXNCAAMBGAME-26FEB23AMCCSELA,Texas A&M-Corpus Christi at Southeastern Louisiana,Texas A&M-Corpus Christi,Southeastern Louisiana,neither_mm
KXNCAAMBGAME-26FEB12CSFLBSU,Cal State Fullerton at Long Beach St.,Cal State Fullerton,Long Beach St.,neither_mm
KXNCAAMBGAME-26MAR13CHARUAB,Charlotte at UAB,Charlotte,UAB,neither_mm
KXNCAAMBGAME-26FEB21OREUSC,Oregon at USC,Oregon,USC,neither_mm
KXNCAAMBGAME-26MAR12AAMUTXSO,Alabama A&M at Texas Southern,Alabama A&M,Texas Southern,neither_mm
KXNCAAMBGAME-26MAR01DEPMARQ,DePaul at Marquette,DePaul,Marquette,neither_mm
KXNCAAMBGAME-26MAR10MOSUFIU,Missouri St. at Florida International,Missouri St.,Florida International,neither_mm
KXNCAAMBGAME-26FEB17SEMOUTM,Southeast Missouri St. at Tennessee-Martin,Southeast Missouri St.,Tennessee-Martin,neither_mm
KXNCAAMBGAME-26APR02UNMTLSA,New Mexico at Tulsa,New Mexico,Tulsa,neither_mm
KXNCAAMBGAME-26MAR10OKSTCOLO,Oklahoma St. at Colorado,Oklahoma St.,Colorado,neither_mm
KXNCAAMBGAME-26FEB15UTSACHAR,UTSA at Charlotte,UTSA,Charlotte,neither_mm
KXNCAAMBGAME-26FEB28UCSBUCI,UC Santa Barbara at UC Irvine,UC Santa Barbara,UC Irvine,neither_mm
KXNCAAMBGAME-26JAN11JOESRICH,Saint Joseph's at Richmond,Saint Joseph's,Richmond,neither_mm
KXNCAAMBGAME-26FEB16NORFUMES,Norfolk St. at Maryland-Eastern Shore,Norfolk St.,Maryland-Eastern Shore,neither_mm
KXNCAAMBGAME-26FEB23UNOSFA,New Orleans at Stephen F. Austin,New Orleans,Stephen F. Austin,neither_mm
KXNCAAMBGAME-26JAN26LMCFDU,Le Moyne at FDU,Le Moyne,FDU,neither_mm
KXNCAAMBGAME-26APR01OKLACOLO,Oklahoma at Colorado,Oklahoma,Colorado,neither_mm
KXNCAAMBGAME-26MAR04FORLAS,Fordham at La Salle,Fordham,La Salle,neither_mm
KXNCAAMBGAME-26MAR12UCDCSF,UC Davis at Cal State Fullerton,UC Davis,Cal State Fullerton,neither_mm
KXNCAAMBGAME-26MAR06USMTXST,Southern Miss at Texas St.,Southern Miss,Texas St.,neither_mm
KXNCAAMBGAME-26MAR12BGSUTOL,Bowling Green at Toledo,Bowling Green,Toledo,neither_mm
KXNCAAMBGAME-26MAR09DETRMU,Detroit Mercy at Robert Morris,Detroit Mercy,Robert Morris,neither_mm
KXNCAAMBGAME-26MAR01BELILST,Belmont at Illinois St.,Belmont,Illinois St.,neither_mm
KXNCAAMBGAME-26MAR01CHARFAU,Charlotte at Florida Atlantic,Charlotte,Florida Atlantic,neither_mm
KXNCAAMBGAME-26MAR04CREIBUT,Creighton at Butler,Creighton,Butler,neither_mm
KXNCAAMBGAME-26FEB28MISSAUB,Ole Miss at Auburn,Ole Miss,Auburn,neither_mm
KXNCAAMBGAME-26FEB12NKUIUIN,Northern Kentucky at IU Indy,Northern Kentucky,IU Indy,neither_mm
KXNCAAMBGAME-26JAN24UCIUCSD,UC Irvine at UC San Diego,UC Irvine,UC San Diego,neither_mm
KXNCAAMBGAME-26MAR08CAMPUNCW,Campbell at UNC Wilmington,Campbell,UNC Wilmington,neither_mm
KXNCAAMBGAME-26MAR08IDSTPRST,Idaho St. at Portland St.,Idaho St.,Portland St.,neither_mm
KXNCAAMBGAME-26FEB13SPCSHU,Saint Peter's at Sacred Heart,Saint Peter's,Sacred Heart,neither_mm
KXNCAAMBGAME-26MAR06VALPBRAD,Valparaiso at Bradley,Valparaiso,Bradley,neither_mm
KXNCAAMBGAME-26JAN18WSUSF,Washington St. at San Francisco,Washington St.,San Francisco,neither_mm
KXNCAAMBGAME-26JAN18PSUMD,Penn St. at Maryland,Penn St.,Maryland,neither_mm
KXNCAAMBGAME-26MAR18NAVYWAKE,Navy at Wake Forest,Navy,Wake Forest,neither_mm
KXNCAAMBGAME-26MAR11MOSULIB,Missouri St. at Liberty,Missouri St.,Liberty,neither_mm
KXNCAAMBGAME-26JAN31LSUSCAR,LSU at South Carolina,LSU,South Carolina,neither_mm
KXNCAAMBGAME-26JAN20VULMORG,Virginia-Lynchburg at Morgan St.,Virginia-Lynchburg,Morgan St.,neither_mm
KXNCAAMBGAME-26MAR09WEBEWU,Weber St. at Eastern Washington,Weber St.,Eastern Washington,neither_mm
KXNCAAMBGAME-26MAR07CALWAKE,California at Wake Forest,California,Wake Forest,neither_mm
KXNCAAMBGAME-26FEB26COFCHAMP,Charleston at Hampton,Charleston,Hampton,neither_mm
KXNCAAMBGAME-26JAN18UTSAMEM,UTSA at Memphis,UTSA,Memphis,neither_mm
KXNCAAMBGAME-26MAR04CSUUNM,Colorado St. at New Mexico,Colorado St.,New Mexico,neither_mm
KXNCAAMBGAME-26MAR03BRYUNH,Bryant at New Hampshire,Bryant,New Hampshire,neither_mm
KXNCAAMBGAME-26FEB06BELUIC,Belmont at UIC,Belmont,UIC,neither_mm
KXNCAAMBGAME-26JAN31BAYWVU,Baylor at West Virginia,Baylor,West Virginia,neither_mm
KXNCAAMBGAME-26MAR05JMUUSM,James Madison at Southern Miss,James Madison,Southern Miss,neither_mm
KXNCAAMBGAME-26MAR12GWFOR,George Washington at Fordham,George Washington,Fordham,neither_mm
KXNCAAMBGAME-26FEB15IONANIAG,Iona at Niagara,Iona,Niagara,neither_mm
KXNCAAMBGAME-26JAN17BETHUSD,Bethesda at San Diego,Bethesda,San Diego,neither_mm
KXNCAAMBGAME-26FEB14SAMETSU,Samford at East Tennessee St.,Samford,East Tennessee St.,neither_mm
KXNCAAMBGAME-26JAN16LCHIDAY,Loyola Chicago at Dayton,Loyola Chicago,Dayton,neither_mm
KXNCAAMBGAME-26MAR08WCUETSU,Western Carolina at East Tennessee St.,Western Carolina,East Tennessee St.,neither_mm
KXNCAAMBGAME-26MAR11CPUCSD,Cal Poly at UC San Diego,Cal Poly,UC San Diego,neither_mm
KXNCAAMBGAME-26MAR07PROVGTWN,Providence at Georgetown,Providence,Georgetown,neither_mm
KXNCAAMBGAME-26JAN09UNLVCSU,UNLV at Colorado St.,UNLV,Colorado St.,neither_mm
KXNCAAMBGAME-26JAN27UNONICH,New Orleans at Nicholls St.,New Orleans,Nicholls St.,neither_mm
KXNCAAMBGAME-26JAN14COLOCIN,Colorado at Cincinnati,Colorado,Cincinnati,neither_mm
KXNCAAMBGAME-26FEB02IWAMCC,Incarnate Word at Texas A&M-Corpus Christi,Incarnate Word,Texas A&M-Corpus Christi,neither_mm
KXNCAAMBGAME-26MAR24NEVAUB,Nevada at Auburn,Nevada,Auburn,neither_mm
KXNCAAMBGAME-26MAR11GTWNDEP,Georgetown at DePaul,Georgetown,DePaul,neither_mm
KXNCAAMBGAME-26MAR02IUINCLEV,IU Indy at Cleveland St.,IU Indy,Cleveland St.,neither_mm
KXNCAAMBGAME-26APR02STANWVU,Stanford at West Virginia,Stanford,West Virginia,neither_mm
KXNCAAMBGAME-26FEB14MORGSCST,Morgan St. at South Carolina St.,Morgan St.,South Carolina St.,neither_mm
KXNCAAMBGAME-26JAN08SEAORST,Seattle at Oregon St.,Seattle,Oregon St.,neither_mm
KXNCAAMBGAME-26FEB09NAVYBUCK,Navy at Bucknell,Navy,Bucknell,neither_mm
KXNCAAMBGAME-26JAN26DSUSCST,Delaware St. at South Carolina St.,Delaware St.,South Carolina St.,neither_mm
KXNCAAMBGAME-26FEB01MINNPSU,Minnesota at Penn St.,Minnesota,Penn St.,neither_mm
KXNCAAMBGAME-26MAR07PITTSYR,Pittsburgh at Syracuse,Pittsburgh,Syracuse,neither_mm
KXNCAAMBGAME-26FEB14TLSAWICH,Tulsa at Wichita St.,Tulsa,Wichita St.,neither_mm
KXNCAAMBGAME-26MAR06PRERAD,Presbyterian at Radford,Presbyterian,Radford,neither_mm
KXNCAAMBGAME-26MAR09UNOAMCC,New Orleans at Texas A&M-Corpus Christi,New Orleans,Texas A&M-Corpus Christi,neither_mm
KXNCAAMBGAME-26FEB07MASSCCAR,UMass at Coastal Carolina,UMass,Coastal Carolina,neither_mm
KXNCAAMBGAME-26MAR08MRSTMRMK,Marist at Merrimack,Marist,Merrimack,neither_mm
KXNCAAMBGAME-26FEB19UCDCSF,UC Davis at Cal State Fullerton,UC Davis,Cal State Fullerton,neither_mm
KXNCAAMBGAME-26JAN11NWRUTG,Northwestern at Rutgers,Northwestern,Rutgers,neither_mm
