away_team,away_team_clean,close_time,determination_time,dollar_open_interest,dollar_volume,event_series_ticker,event_subtitle,event_ticker,event_title,expected_expiration_time,expiration_time,game,game_classification,game_clean,home_team,home_team_clean,last_price,market_id,market_source_type,no_ask,no_bid,no_subtitle,open_interest,open_time,opponent,opponent_clean,platform,result,round,settlement_time,status,team,team_clean,ticker,title,volume,yes_ask,yes_bid,yes_subtitle
High Point,High Point,2026-03-19T19:54:15Z,2026-03-19T19:54:17Z,3406409,8330078,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR19HPWIS,High Point at Wisconsin,2026-03-19T20:00:00Z,,High Point vs Wisconsin,both_mm,High Point vs Wisconsin,Wisconsin,Wisconsin,0.99,7913b49e-0961-4a6d-a97e-292464b224e2,game_winner,,,High Point,6812818,2026-03-15T22:47:00Z,Wisconsin,Wisconsin,kalshi,yes,,2026-03-19T19:59:21Z,closed,High Point,High Point,KXNCAAMBGAME-26MAR19HPWIS-HP,High Point at Wisconsin Winner?,16660156,,,High Point
High Point,High Point,2026-03-19T19:54:15Z,2026-03-19T19:54:17Z,2589426,5079214,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR19HPWIS,High Point at Wisconsin,2026-03-19T20:00:00Z,,High Point vs Wisconsin,both_mm,High Point vs Wisconsin,Wisconsin,Wisconsin,0.01,5545dcff-df32-4ecb-8fce-653c3d2df275,game_winner,,,Wisconsin,5178852,2026-03-15T22:47:00Z,High Point,High Point,kalshi,no,,2026-03-19T19:59:21Z,closed,Wisconsin,Wisconsin,KXNCAAMBGAME-26MAR19HPWIS-WIS,High Point at Wisconsin Winner?,10158428,,,Wisconsin
South Florida,South Florida,2026-03-19T19:55:58Z,2026-03-19T19:56:00Z,2331866,4785275,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR19USFLOU,South Florida at Louisville,2026-03-19T20:00:00Z,,South Florida vs Louisville,both_mm,South Florida vs Louisville,Louisville,Louisville,0.99,492d913e-e874-407f-91b7-bd34c6bec594,game_winner,,,Louisville,4663732,2026-03-15T22:47:00Z,South Florida,South Florida,kalshi,yes,,2026-03-19T20:01:01Z,closed,Louisville,Louisville,KXNCAAMBGAME-26MAR19USFLOU-LOU,South Florida at Louisville Winner?,9570550,,,Louisville
South Florida,South Florida,2026-03-19T19:55:58Z,2026-03-19T19:56:00Z,3478598,6659310,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR19USFLOU,South Florida at Louisville,2026-03-19T20:00:00Z,,South Florida vs Louisville,both_mm,South Florida vs Louisville,Louisville,Louisville,0.01,d4d1d52d-248e-4270-924a-b126a9d7b817,game_winner,,,South Florida,6957196,2026-03-15T22:47:00Z,Louisville,Louisville,kalshi,no,,2026-03-19T20:01:01Z,closed,South Florida,South Florida,KXNCAAMBGAME-26MAR19USFLOU-USF,South Florida at Louisville Winner?,13318620,,,South Florida
Siena,Siena,2026-03-19T21:04:54Z,2026-03-19T21:04:57Z,7048087,11310074,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR19SIEDUKE,Siena at Duke,2026-03-19T20:00:00Z,,Siena vs Duke,both_mm,Siena vs Duke,Duke,Duke,0.99,b8f5c50c-c791-429d-be5f-a6f46698ef09,game_winner,,,Duke,14096174,2026-03-15T22:47:00Z,Siena,Siena,kalshi,yes,,2026-03-19T21:10:01Z,closed,Duke,Duke,KXNCAAMBGAME-26MAR19SIEDUKE-DUKE,Siena at Duke Winner?,22620148,,,Duke
Siena,Siena,2026-03-19T21:04:54Z,2026-03-19T21:04:57Z,15354983,31126328,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR19SIEDUKE,Siena at Duke,2026-03-19T20:00:00Z,,Siena vs Duke,both_mm,Siena vs Duke,Duke,Duke,0.01,26fa24b0-2297-4250-8255-9ac5b1958f3a,game_winner,,,Siena,30709966,2026-03-15T22:47:00Z,Duke,Duke,kalshi,no,,2026-03-19T21:10:01Z,closed,Siena,Siena,KXNCAAMBGAME-26MAR19SIEDUKE-SIE,Siena at Duke Winner?,62252656,,,Siena
McNeese,McNeese,2026-03-19T21:25:04Z,2026-03-19T21:26:04Z,3787158,6123815,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR19MCNSVAN,McNeese at Vanderbilt,2026-03-19T20:00:00Z,,McNeese vs Vanderbilt,both_mm,McNeese vs Vanderbilt,Vanderbilt,Vanderbilt,0.01,7b9bc7be-5387-4de8-b258-73aeb0b40791,game_winner,,,McNeese,7574316,2026-03-15T22:47:00Z,Vanderbilt,Vanderbilt,kalshi,no,,2026-03-19T21:31:11Z,closed,McNeese,McNeese,KXNCAAMBGAME-26MAR19MCNSVAN-MCNS,McNeese at Vanderbilt Winner?,12247630,,,McNeese
McNeese,McNeese,2026-03-19T21:25:04Z,2026-03-19T21:26:04Z,2370440,3904765,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR19MCNSVAN,McNeese at Vanderbilt,2026-03-19T20:00:00Z,,McNeese vs Vanderbilt,both_mm,McNeese vs Vanderbilt,Vanderbilt,Vanderbilt,0.99,ae774cfc-c78c-4860-8372-118338856797,game_winner,,,Vanderbilt,4740880,2026-03-15T22:47:00Z,McNeese,McNeese,kalshi,yes,,2026-03-19T21:31:11Z,closed,Vanderbilt,Vanderbilt,KXNCAAMBGAME-26MAR19MCNSVAN-VAN,McNeese at Vanderbilt Winner?,7809530,,,Vanderbilt
Hawaii,Hawaii,2026-03-19T22:41:00Z,2026-03-19T22:41:59Z,1260931,1444569,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR19HAWARK,Hawai'i at Arkansas,2026-03-19T20:00:00Z,,Hawaii vs Arkansas,both_mm,Hawaii vs Arkansas,Arkansas,Arkansas,0.99,9c63e30a-03f1-4ecf-947d-6b7e792a2a60,game_winner,,,Arkansas,2521862,2026-03-15T22:47:00Z,Hawaii,Hawaii,kalshi,yes,,2026-03-19T22:47:01Z,closed,Arkansas,Arkansas,KXNCAAMBGAME-26MAR19HAWARK-ARK,Hawai'i at Arkansas Winner?,2889138,,,Arkansas
Hawaii,Hawaii,2026-03-19T22:41:00Z,2026-03-19T22:41:59Z,2750606,3311026,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR19HAWARK,Hawai'i at Arkansas,2026-03-19T20:00:00Z,,Hawaii vs Arkansas,both_mm,Hawaii vs Arkansas,Arkansas,Arkansas,0.01,ed5cb85d-d5b5-4dff-a271-54e876e2daa3,game_winner,,,Hawai'i,5501212,2026-03-15T22:47:00Z,Arkansas,Arkansas,kalshi,no,,2026-03-19T22:47:01Z,closed,Hawai'i,Hawaii,KXNCAAMBGAME-26MAR19HAWARK-HAW,Hawai'i at Arkansas Winner?,6622052,,,Hawai'i
